;Frage ;Richtige Antwort;Alternative 1;Alternative 2
1;Welcher der Folgenden Musiker gab auf der Ostseeinsel Fehmarn sein letztes Konzert?;Jimy Hendrix;Elvis Presley;Joe Cocker
2;Welchen zweiten Namen trägt die Ostsee?;Baltisches Meer;Nordmeer;Bottnischer Meerbusen
3;Verglichen mit der Nordsee ist der Salzgehalt der Ostsee…;gering;sehr hoch;genauso hoch
4;Wie heißt Deutschlands größte Insel?;Rügen;Fehmarn;Fischland-Darß
5;Wie viele Länder grenzen an die Ostsee?;neun;sieben;elf
6;Welche Ferienstraße verbindet den Bodensee mit der Ostsee?;Deutsche Alleenstraße;Deutsche Burgenstraße;Deutsche Fachwerkstraße
7;Welcher der folgenden Flüsse führt sein Wasser der Ostsee zu?;Weichsel;Don;Weiße Elster
8;Wie wird die Insel Fehmarn mit Spitznamen genannt?;Knust;Windjammer;Kleiderbügel
9;Was erfand Wilhelm Bartelmann in den 1880er Jahren?;Den Strandkorb;die krabben-pulmaschine;den bademeister-hochsitz
10;Welche herausragende Sehenswürdigkeit befindet sich NICHT an der Ostseeküste?;Der älteste noch erhaltene Bahnhof Deutschlands;Die älteste Galopprennbahn auf dem europäischen Kontinent;Die älteste Schmalspurbahn Deutschlands
11;Welcher der folgenden Ostsebadeorte hat die längste Seebrücke?;Heringsdorf auf Usedom;Heiligenhafen;Selling auf Rügen
12;Wie alt ist die Ostsee?;12000;20000;5000
13;Wie groß ist die Ostsee?;413.000 Quadratkilometer;623.000 Quadratkilometer;90.000 Quadratkilometer
14;Wie tief ist die Ostsee an ihrer tiefsten Stelle?;459 Meter;90 Meter ;1 Kilometer
15;Welcher Fluss fließt nicht in die Ostsee?;Rhein;Oder;Newa
16;Friert die Ostsee eigentlich zu?;nur der nördliche Teil;Die Ostsee friert nie zu;die Ostsee friert völlig zu
17;Welches Tier ist für die Ostsee nicht typisch?;Eisbär;Wale;Robben
18;Wie heißt der giftigste Fisch in der Ostsee?;Petermännchen;Hanselmann;Jürgensson
19;Gibt es haie in der Ostsee?;Ja, den Katzenhai;den weißen Hai;nein
20;Warum sin die Seesterne in der Ostsee nicht so groß?;das Wasser der Ostsee ist nicht salzig genug;Das Wasser ist zu kalt;Das Wasser ist zu warm
21;Welcher Fisch lebt nicht in der Ostsee?;Kabeljau;Knorrhahn;Dorsch
22;VOR WELCHEN VÖGELN MUSST DU AN DER OSTSEE DEIN ESSEN IN SICHERHEIT BRINGEN?;Möwen;Spaßvögeln;Quietscheenten
23; WIE HEIßT DIE ROTE DAMPFLOKOMOTIVE IN BAD DOBERAN?;Die Molli;Der Loko;Der Hansdampf
24;Was ist ein Hühnergott? Man kann ihn am Ostseestrand finden.;Ein Stein mit Loch;Ein Zauber-Ei;Ein Hahn
25;WAS IST TYPISCHER OSTSEESCHMUCK?;Bernstein;Perlen;Diamanten
26;WELCHES LAND LIEGT NICHT AN DER OSTSEE?;Tschechien;Schweden;Estland
27;DIE HANSE BEZEICHNET EINE GEMEINSCHAFT VON…?;Kaufleuten Norddeutscher Städte;Fischern der Nord- und Ostsee;Segelschifffreunden
28;Wo findet man den ältesten Leuchturm Deutschlands?;In Travemünde;in Dahme;auf Fehmarn
29;Wie heißen die bekannten norddeutschen Seemannslieder?;Shanties;Schoten;Folksongs
30;In der Ostssee leben...;Schweinswale;Zwergwal;Buckelwale
31;Welche deutsche Ostseeinsel ist eine geteilte Insel?;Usedom;Hiddensee;Rügen
32;"Was wird auch das ""Gold der Ostsee"" genannt?";Bernstein;eine besondere Muschelart;die Fische der Ostsee
33;WIE SCHMECKT DAS WASSER IN DER OSTSEE? ;Salzig;Süß;Bitter
34;IN DER OSTSEE LEBEN…?;Meerschweinchen;Aale;Haie
35;WAS BEGEGNET DIR BEIM BADEN IN DER OSTSEE?;Wackelpudding;Quallen;Algen
36;WAS KANNST DU AM OSTSEESTRAND NEBEN STEINEN AUCH SAMMELN?;Muscheln;Gold;Fleißbildchen
37; RÜGEN IST EINE INSEL, WEIL:;DAS FESTLAND VON WASSER UMGEBEN IST;DAS WASSER VON FESTLAND UMGEBEN IST;Eine Palme drauf steht
38;AUF RÜGEN FINDEST DU FELSEN AUS?;Kreide;Gummi;Sand
39;WAS KANNST DU AM STRAND DER OSTSEE AM BESTEN BAUEN?;Sandburgen;Ikea-Regale;Lego
40;WELCHEN TURM FINDET MAN IMMER MAL WIEDER AN DER OSTSEE?;Leuchtturm;Wäscheturm;Eiffelturm
41;WELCHER PIRAT GEHÖRTE ZU DEN VITALIENBRÜDERN?;Störtebeker;Capt´n Flint;Capt´n hook
42;DIE OSTSEE IST KEIN…?;Weltmeer;Binnenmeer;Brackwassermeer
43;WIE LANG IST DIE KÜNSTLICHE WASSERSTRASSE „NORD-OSTSEE-KANAL“?;98 Kilometer;1500 Kilometer;23 Kilometer
44;WIE BREIT IST DER GRÖSSTE STRANDKORB DER WELT, DER AUF USEDOM STEHT?;6 meter  40;2 meter 80;10 meter 30
45;WAS IST „LABSKAUS“?;RIND- UND SCHWEINEFLEISCH MIT ROLLMOPS UND EI;PÜREE AUS RINDERHACKFLEISCH MIT SALZGURKE AUF BROT;EINTOPF AUS FISCH MIT ROTER BEETE UND APFEL
46;DER RASENDE ROLAND IST…?;EINE SCHMALSPURBAHN AUF DER INSEL RÜGEN;EINE STATUE VON „ROLAND DEM SCHNELLEN“ IN KIEL;EIN SPRINTER AUS LUDWIGSLUST
47;WAS IST KLÖNSCHNACK?;PLATTDEUTSCH FÜR: EIN SCHWÄTZCHEN HALTEN;EINE FORM VON PLATTDEUTSCH IM SÜDEN HOLSTEINS;EINE FORM VON PLATTDEUTSCH IM WESTEN VORPOMMERNS
48;WARUM LEUCHTET DER LEUCHTTURM?;SIE LOTSEN SCHIFFE SICHER IN DEN HAFEN;DAMIT DIE FISCHE IM DUNKELN SEHEN KÖNNEN;DAMIT KEINE FLUGZEUGE DAGEGEN FLIEGEN
49;Gibt es an der Ostsee Ebbe und Flut?;Ja, aber kaum merklich;Ja, stärker als an der Nordsee;Nein
50;Wie viele Kilometer beträgt die Länge der deutschen Ostseeküste?;2247 Kilometer;834 Kilometer;334 Kilometer
